white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
Gukesh D,"Aryan, C",I Menorca Open 2022,2022.04.23,0.10636363636363634,0.10636363636363634,0.205,0.14500000000000002,-0.0,,0.6060606060606061,0.6060606060606061,0.5,1.0,1.0,,0.696969696969697,0.696969696969697,0.6,1.0,1.0,,0.17809439529744794,0.17809439529744794
"Sargsyan, Shant",Gukesh D,I Menorca Open 2022,2022.04.23,0.21999999999999997,0.21999999999999997,0.21999999999999997,,,,0.0,0.0,,,,,0.0,0.0,,,,,NaN,NaN
Gukesh D,"Adhiban, B.",I Menorca Open 2022,2022.04.24,0.04348837209302329,0.046750000000000035,0.08500000000000003,0.053000000000000026,0.049000000000000064,-0.0,0.7674418604651163,0.75,0.7,0.8,1.0,1.0,0.813953488372093,0.8,0.8,0.8,1.0,1.0,0.21698018036469682,0.2248234349952801
"Dukic, Zachary",Gukesh D,I Sunway Formentera Open,2022.04.29,0.06519999999999997,0.06519999999999997,0.10500000000000001,0.001999999999999935,0.11199999999999992,,0.68,0.68,0.7,0.8,,,0.72,0.72,0.8,0.8,,,0.17569196528773492,0.17569196528773492
Gukesh D,"Alinasab, Mobina",I Sunway Formentera Open,2022.04.30,0.12099999999999995,0.12099999999999995,0.09499999999999997,0.19699999999999993,0.07099999999999998,,0.5333333333333333,0.5333333333333333,0.4,0.7,,,0.6333333333333333,0.6333333333333333,0.5,0.7,,,0.38388530974039986,0.38388530974039986
"Cuenca Jimenez, Jose Fernando",Gukesh D,I Sunway Formentera Open,2022.05.01,0.15527777777777776,0.15527777777777776,0.092,0.082,0.365,,0.5277777777777778,0.5277777777777778,0.6,0.2,0.8333333333333334,,0.6388888888888888,0.6388888888888888,0.6,0.6,0.8333333333333334,,0.4761481528810792,0.4761481528810792
Gukesh D,"Santos Latasa, Jaime",I Sunway Formentera Open,2022.05.02,0.062,0.062,0.145,-0.021,,,0.65,0.65,1.0,,,,0.75,0.75,1.0,,,,0.13241084388730165,0.13241084388730165
"Batsiashvili, Nino",Gukesh D,I Sunway Formentera Open,2022.05.03,0.09793103448275861,0.09793103448275861,0.10400000000000001,0.18,0.0,,0.6896551724137931,0.6896551724137931,0.5,1.0,,,0.7586206896551724,0.7586206896551724,0.6,1.0,,,0.1905139535636775,0.1905139535636775
Gukesh D,"Santos Ruiz, Miguel",I Sunway Formentera Open,2022.05.04,0.5352631578947368,0.5352631578947368,0.24500000000000002,0.8577777777777778,,,0.21052631578947367,0.21052631578947367,0.1111111111111111,,,,0.3157894736842105,0.3157894736842105,0.2222222222222222,,,,0.5424365648631965,0.5424365648631965
"Sargsyan, Shant",Gukesh D,I Sunway Formentera Open,2022.05.05,0.08152173913043478,0.09375,0.24400000000000005,0.09599999999999997,0.061999999999999986,0.0,0.5869565217391305,0.525,0.5,0.5,0.9,1.0,0.6956521739130435,0.65,0.6,0.7,1.0,1.0,0.21807203082472384,0.23172361410381406
Gukesh D,"Song, Ju",I Sunway Formentera Open,2022.05.06,0.20913793103448278,0.32325,0.199,0.12500000000000008,0.35699999999999993,-0.04444444444444441,0.5689655172413793,0.375,0.6,0.2,0.3,1.0,0.603448275862069,0.425,0.6,0.4,0.3,1.0,0.43070845140877195,0.47133953954496705
"Sasikiran, Krishnan",Gukesh D,I Sunway Formentera Open,2022.05.07,0.23918918918918922,0.23918918918918922,0.22400000000000003,0.17900000000000002,0.4660000000000001,,0.32432432432432434,0.32432432432432434,0.2,0.2,0.8571428571428571,,0.3783783783783784,0.3783783783783784,0.2,0.3,0.8571428571428571,,0.3236113785458174,0.3236113785458174
Gukesh D,"Martirosyan, Haik M.",I Sunway Formentera Open,2022.05.08,0.10933333333333332,0.10933333333333332,0.037,0.254,,,0.4666666666666667,0.4666666666666667,0.2,,,,0.6,0.6,0.2,,,,0.18394357312838658,0.18394357312838658
Mahitosh Dey,Gukesh D,Kvika Reykjavik Open 2022,2022.04.06,0.2648,0.32649999999999996,0.156,0.215,0.31899999999999995,0.018,0.44,0.325,0.2,0.4,0.4,0.9,0.46,0.35,0.3,0.4,0.4,0.9,0.6876111858144418,0.7574740411901408
Gukesh D,"Fantinel, Thibault",Kvika Reykjavik Open 2022,2022.04.07,0.22423076923076923,0.22423076923076923,0.43200000000000005,0.15099999999999997,-0.0,,0.4230769230769231,0.4230769230769231,0.4,1.0,,,0.5,0.5,0.5,1.0,,,0.4084132522524026,0.4084132522524026
"Cornette, Matthieu",Gukesh D,Kvika Reykjavik Open 2022,2022.04.07,0.09874999999999999,0.09874999999999999,0.13099999999999998,0.06299999999999999,0.1075,,0.5,0.5,0.6,0.25,,,0.5416666666666666,0.5416666666666666,0.6,0.25,,,0.15663062335926853,0.15663062335926853
Gukesh D,"Maze, Sebastien",Kvika Reykjavik Open 2022,2022.04.08,0.27361111111111114,0.27361111111111114,0.14200000000000002,0.05400000000000001,0.7390000000000001,,0.4166666666666667,0.4166666666666667,0.7,0.1,0.6666666666666666,,0.5277777777777778,0.5277777777777778,0.8,0.1,0.6666666666666666,,0.5278860958187193,0.5278860958187193
"Fier, Alexandr",Gukesh D,Kvika Reykjavik Open 2022,2022.04.09,0.10333333333333333,0.10333333333333333,0.11200000000000002,0.06,,,0.4166666666666667,0.4166666666666667,0.5,,,,0.5,0.5,0.5,,,,0.15784534049236779,0.15784534049236779
Gukesh D,"Steingrimsson, Hedinn",Kvika Reykjavik Open 2022,2022.04.10,0.07391304347826087,0.07391304347826087,0.16,0.009999999999999998,-0.0,,0.7391304347826086,0.7391304347826086,1.0,1.0,,,0.782608695652174,0.782608695652174,1.0,1.0,,,0.18607767514070772,0.18607767514070772
"Laurent-Paoli, Pierre",Gukesh D,Kvika Reykjavik Open 2022,2022.04.10,0.42733333333333334,0.48075,0.1,0.38899999999999996,1.389,0.0,0.5333333333333333,0.475,0.4,0.3,0.9,1.0,0.5777777777777777,0.525,0.5,0.3,0.9,1.0,1.0646518850608566,1.119135168619513
Gukesh D,"Hjartarson, Johann",Kvika Reykjavik Open 2022,2022.04.11,0.10805555555555557,0.10805555555555557,0.15499999999999997,0.16800000000000007,0.06600000000000002,,0.5833333333333334,0.5833333333333334,0.3,0.9,1.0,,0.6388888888888888,0.6388888888888888,0.4,0.9,1.0,,0.20015450381349248,0.20015450381349248
Gukesh D,Praggnanandhaa R,Kvika Reykjavik Open 2022,2022.04.12,0.4685714285714286,0.4685714285714286,0.20099999999999998,0.07300000000000006,1.2974999999999999,,0.4642857142857143,0.4642857142857143,0.6,0.5,,,0.5714285714285714,0.5714285714285714,0.8,0.5,,,1.2889522425590032,1.2889522425590032
