white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
Erigaisi Arjun,"Grandelius, Nils",27th Sigeman & Co 2022,2022.05.06,0.0703448275862069,0.0703448275862069,0.159,0.039999999999999994,0.005555555555555556,,0.7241379310344828,0.7241379310344828,0.8,1.0,,,0.7931034482758621,0.7931034482758621,0.9,1.0,,,0.1337503740614446,0.1337503740614446
"Van Foreest, Jorden",Erigaisi Arjun,27th Sigeman & Co 2022,2022.05.07,0.22846153846153847,0.22846153846153847,0.036,0.124,0.231,,0.7435897435897436,0.7435897435897436,0.8,0.5,0.8888888888888888,,0.7948717948717948,0.7948717948717948,0.9,0.6,0.8888888888888888,,0.8390801306115194,0.8390801306115194
Erigaisi Arjun,"Adams, Michael",27th Sigeman & Co 2022,2022.05.08,0.06866666666666667,0.06866666666666667,0.051000000000000004,0.124,0.031,,0.5666666666666667,0.5666666666666667,0.3,0.8,,,0.7666666666666667,0.7666666666666667,0.5,0.9,,,0.09453090475618536,0.09453090475618536
"Navara, David",Erigaisi Arjun,27th Sigeman & Co 2022,2022.05.09,0.06229166666666667,0.07475000000000001,0.082,0.11000000000000001,0.055999999999999994,0.0,0.625,0.55,0.3,0.5,0.8,1.0,0.7708333333333334,0.725,0.5,0.8,0.9,1.0,0.12597263436925127,0.1347930512551247
"Mchedlishvili, Mikheil",Erigaisi Arjun,5th Sharjah Masters 2022,2022.05.21,0.16983050847457626,0.25050000000000006,0.06100000000000001,0.258,0.46299999999999997,0.0,0.559322033898305,0.35,0.3,0.4,0.1,1.0,0.6440677966101694,0.475,0.3,0.6,0.3,1.0,0.4143357439424671,0.48433909502987577
Erigaisi Arjun,"Van Foreest, Lucas",5th Sharjah Masters 2022,2022.05.22,0.25299999999999995,0.31375,0.057999999999999996,-0.05100000000000001,0.6089999999999999,0.010000000000000004,0.74,0.75,0.8,0.7,0.7,0.7,0.78,0.775,0.9,0.7,0.7,0.8,0.8922780979502033,0.9892853869956217
"Kadric, Denis",Erigaisi Arjun,5th Sharjah Masters 2022,2022.05.23,0.10520000000000003,0.10520000000000003,0.11200000000000002,0.07200000000000006,0.158,,0.56,0.56,0.6,0.8,,,0.56,0.56,0.6,0.8,,,0.2493845758395387,0.2493845758395387
Erigaisi Arjun,"Ganguly, Surya Shekhar",5th Sharjah Masters 2022,2022.05.24,0.05195652173913043,0.05974999999999999,0.0019999999999999974,0.048,0.176,-0.0,0.7608695652173914,0.725,0.7,0.5,0.9,1.0,0.8695652173913043,0.85,0.9,0.7,1.0,1.0,0.21890251067254568,0.23412124297093684
"Sadhwani, Raunak",Erigaisi Arjun,5th Sharjah Masters 2022,2022.05.25,0.23666666666666666,0.23666666666666666,0.10899999999999994,0.018999999999999982,0.7300000000000001,,0.5185185185185185,0.5185185185185185,0.5,0.5714285714285714,,,0.5925925925925926,0.5925925925925926,0.6,0.5714285714285714,,,0.9291642232921767,0.9291642232921767
Erigaisi Arjun,"Aryan, C",5th Sharjah Masters 2022,2022.05.26,0.1424561403508772,0.203,0.024,0.17700000000000002,0.347,2.6122894697062506e-17,0.47368421052631576,0.275,0.2,0.1,0.2,0.9411764705882353,0.5614035087719298,0.4,0.3,0.2,0.2,0.9411764705882353,0.25087903104992926,0.27775842667639017
"Ponkratov, Pavel",Erigaisi Arjun,5th Sharjah Masters 2022,2022.05.27,0.07333333333333335,0.07333333333333335,0.07333333333333335,,,,0.5,0.5,,,,,0.8333333333333334,0.8333333333333334,,,,,0.10366613075960088,0.10366613075960088
Erigaisi Arjun,"Martirosyan, Haik M.",5th Sharjah Masters 2022,2022.05.28,0.28045454545454546,0.28045454545454546,0.466,0.15099999999999997,-0.0,,0.45454545454545453,0.45454545454545453,0.5,1.0,,,0.45454545454545453,0.45454545454545453,0.5,1.0,,,0.42126201859613255,0.42126201859613255
"Indjic, Aleksandar",Erigaisi Arjun,5th Sharjah Masters 2022,2022.05.29,0.032631578947368414,0.032631578947368414,0.062,0.0,,,0.7894736842105263,0.7894736842105263,1.0,,,,0.8421052631578947,0.8421052631578947,1.0,,,,0.08986669790201968,0.08986669790201968
Erigaisi Arjun,"Vernay, Clovis",TCh-FRA Top 16 GpB 2022,2022.06.09,0.15666666666666665,0.17624999999999996,0.33199999999999996,0.32999999999999996,0.043,-0.0,0.6666666666666666,0.625,0.5,0.7,1.0,1.0,0.7777777777777778,0.75,0.7,0.8,1.0,1.0,0.45265881191025104,0.4771049849526483
